mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
0.177235,0.023458,-0.075386,0.602564,0.613048,0.472592,0.194024,0.018121,0.62943,0.504996,0.399812,0.805976,0.0,0.0,1.0,0.0,0.331333,18.607496,0.0,0,1
0.136693,-0.049793,-0.065615,0.614693,0.620468,0.460005,0.159592,0.026182,0.598247,0.563805,0.379395,0.840407,0.0,0.0,1.0,0.0,1.031333,-18.624629,11.0,0,1
0.025199,-0.115173,-0.081134,0.608253,0.611553,0.485251,0.143118,0.031074,0.520869,0.557673,0.37358,0.856882,0.0,0.0,1.0,0.0,1.771333,-36.573081,10.0,0,2
-0.014633,-0.086108,-0.07366,0.607718,0.608556,0.497193,0.114256,0.029322,0.511095,0.559205,0.375949,0.885744,0.0,0.0,1.0,0.0,1.991333,-28.122688,11.0,0,2
-0.096066,-0.120491,-0.044628,0.575212,0.625819,0.501671,0.160432,0.028166,0.455648,0.635139,0.379186,0.839568,0.0,0.0,1.0,0.0,2.601333,-60.326679,9.0,0,1
-0.148667,-0.103862,-0.024974,0.586288,0.625262,0.481332,0.183065,0.024473,0.453001,0.650564,0.328154,0.816935,0.0,0.0,1.0,0.0,3.391333,-100.608974,8.0,0,1
-0.121798,-0.0737,-0.012107,0.59786,0.622741,0.483921,0.142875,0.018666,0.511932,0.737006,0.305175,0.857125,0.0,0.0,1.0,0.0,3.611333,-148.764989,7.0,0,2
-0.142696,0.022937,0.034806,0.606352,0.647394,0.43701,0.14866,0.017579,0.74779,1.043607,0.413812,0.85134,0.0,0.0,1.0,0.0,4.211333,-137.05438,7.0,2,2
-0.146442,0.009152,0.030195,0.660553,0.588182,0.441776,0.149802,0.013708,1.06044,1.042837,0.472239,0.850198,0.0,0.0,1.0,0.0,5.101333,-130.800114,7.0,2,2
-0.103642,0.038752,0.046889,0.657734,0.576745,0.469174,0.120175,0.010136,1.366804,1.347006,0.610663,0.879825,0.0,0.0,1.0,0.0,5.761333,-134.05073,7.0,2,2
