mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
0.183283,0.096861,0.01599,0.58795,0.61164,0.486807,0.207919,0.018748,0.747558,0.736176,0.496696,0.792081,0.0,0.0,1.0,0.0,3.141333,37.495788,1.0,1,1
0.160978,0.060433,0.007935,0.596267,0.585407,0.521666,0.172131,0.016864,0.82673,0.755572,0.59832,0.827869,0.0,0.0,1.0,0.0,4.551333,33.999711,1.0,1,1
0.211551,0.032806,0.003096,0.612245,0.555972,0.519818,0.214102,0.019128,0.87922,0.676749,0.617469,0.785898,0.0,0.0,1.0,0.0,6.841333,23.184846,0.0,1,1
0.154621,-0.017801,0.008604,0.621252,0.558956,0.526601,0.15588,0.016821,0.914449,0.661063,0.642828,0.84412,0.0,0.0,1.0,0.0,8.151333,15.729405,0.0,1,1
0.080133,-0.08847,0.029256,0.596924,0.564242,0.55694,0.1229,0.002478,1.780855,1.510088,1.365643,0.8771,0.0,0.0,1.0,0.0,10.391333,-47.346106,10.0,2,2
0.070541,-0.0998,0.030978,0.596199,0.565994,0.555193,0.126078,0.003167,1.88386,1.679484,1.472347,0.873922,0.0,0.0,1.0,0.0,12.521333,-47.823101,10.0,2,2
0.072177,-0.115204,0.033284,0.592315,0.565377,0.556638,0.139962,0.002331,1.965403,1.770075,1.535008,0.860038,0.0,0.0,1.0,0.0,13.631333,-49.671758,10.0,2,2
0.010313,0.37952,-0.016166,0.468029,0.661325,0.446301,0.380004,0.014571,0.332009,0.774623,0.311851,0.619996,0.0,0.0,1.0,0.0,16.961333,88.10106,2.0,0,0
0.044504,0.364353,0.013624,0.504074,0.643206,0.444158,0.367314,0.0131,0.397964,0.772672,0.332061,0.632686,0.0,0.0,1.0,0.0,18.511333,89.515433,2.0,1,0
0.114154,0.374065,0.010284,0.517791,0.619563,0.441557,0.391231,0.013856,0.423584,0.724464,0.306924,0.608769,0.0,0.0,1.0,0.0,20.861333,75.211179,2.0,1,0
