feature_csv,wav_path,time_s,azimuth_deg,elev_class,psi_overall,psi_cls
features/fm1_elev0-001.csv,Files/elev0/fm1_elev0-001.wav,0.9713333333333334,-9.221857126922744,0,0.886691,1
features/fm1_elev0-001.csv,Files/elev0/fm1_elev0-001.wav,1.2013333333333334,89.73179738797518,0,0.892663,2
features/fm1_elev0-001.csv,Files/elev0/fm1_elev0-001.wav,1.7913333333333334,-20.96127228082625,0,0.82684,1
features/fm1_elev0-001.csv,Files/elev0/fm1_elev0-001.wav,2.5813333333333333,-38.68242448779236,0,0.808243,1
features/fm1_elev0-001.csv,Files/elev0/fm1_elev0-001.wav,3.481333333333333,-75.32306155119927,0,0.711039,0
features/fm1_elev0-001.csv,Files/elev0/fm1_elev0-001.wav,4.391333333333334,-97.84637379505028,0,0.754362,0
features/fm1_elev0-001.csv,Files/elev0/fm1_elev0-001.wav,5.091333333333333,-110.0818782149274,0,0.80758,1
features/fm1_elev0-001.csv,Files/elev0/fm1_elev0-001.wav,5.801333333333333,-161.77209920714378,0,0.909056,2
features/fm1_elev0-001.csv,Files/elev0/fm1_elev0-001.wav,6.6113333333333335,-161.24720627337044,0,0.945883,2
features/fm1_elev0-002.csv,Files/elev0/fm1_elev0-002.wav,0.4113333333333333,-6.850940149450082,0,0.891642,2
features/fm1_elev0-002.csv,Files/elev0/fm1_elev0-002.wav,1.911333333333333,-139.19732725207365,0,0.904053,2
features/fm1_elev0-002.csv,Files/elev0/fm1_elev0-002.wav,2.691333333333333,106.7482405394618,0,0.910481,2
features/fm1_elev0-002.csv,Files/elev0/fm1_elev0-002.wav,3.501333333333333,86.09273840169351,0,0.855203,1
features/fm1_elev0-002.csv,Files/elev0/fm1_elev0-002.wav,4.411333333333333,58.93034467865107,0,0.891677,2
features/fm1_elev0-002.csv,Files/elev0/fm1_elev0-002.wav,5.161333333333333,-54.52057057588671,1,0.941153,2
