mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
0.092689,-0.287878,0.044244,0.607826,0.55816,0.474955,0.305651,0.033584,0.613355,0.67167,0.375876,0.694349,0.444444,0.642788,0.766044,0.0,1.141333,-33.570334,10.0,2,0
0.058428,-0.285672,0.047475,0.607007,0.558093,0.482492,0.295426,0.037572,0.578897,0.659201,0.362449,0.704574,0.444444,0.642788,0.766044,0.0,1.981333,-34.407114,10.0,2,0
0.059175,-0.27521,0.036795,0.598626,0.574648,0.480447,0.283894,0.036067,0.565552,0.655634,0.341428,0.716106,0.444444,0.642788,0.766044,0.0,2.261333,-83.429952,9.0,2,0
0.018883,-0.29049,-0.021274,0.574516,0.585788,0.491517,0.29188,0.034805,0.55954,0.636557,0.356287,0.70812,0.444444,0.642788,0.766044,0.0,2.791333,-82.307172,9.0,0,0
0.010226,-0.214163,-0.059994,0.581478,0.612114,0.487472,0.222643,0.023827,0.593784,0.643364,0.45588,0.777357,0.444444,0.642788,0.766044,0.0,3.641333,-55.025872,10.0,0,0
0.023069,-0.187406,-0.054339,0.584183,0.632332,0.46934,0.196484,0.016102,0.607137,0.708118,0.449431,0.803515,0.444444,0.642788,0.766044,0.0,3.891333,-103.297484,8.0,0,1
-0.031069,-0.193324,-0.051718,0.612523,0.613134,0.455925,0.20252,0.029016,0.565839,0.574487,0.312422,0.79748,0.444444,0.642788,0.766044,0.0,4.351333,-111.61281,8.0,0,1
-0.079206,-0.158293,0.020383,0.6434,0.587995,0.456674,0.178174,0.035769,0.604497,0.471028,0.279039,0.821826,0.444444,0.642788,0.766044,0.0,5.121333,-129.724697,7.0,1,1
-0.052848,-0.067861,0.020387,0.525022,0.503527,0.396797,0.088395,0.028981,0.613621,0.436563,0.285857,0.911605,0.444444,0.642788,0.766044,0.0,6.121333,-104.92146,8.0,1,2
-0.013272,-0.017861,0.026108,0.34883,0.344175,0.270429,0.034304,0.017682,0.631299,0.402085,0.294299,0.965696,0.444444,0.642788,0.766044,0.0,6.881333,171.745313,5.0,2,2
