mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
0.302934,-0.085395,-0.181806,0.591339,0.603027,0.393142,0.363476,0.026595,0.657738,0.435525,0.315292,0.636524,0.0,0.0,1.0,0.0,0.321333,15.944466,0.0,0,0
0.276877,-0.11478,-0.161472,0.599256,0.603524,0.400926,0.340454,0.023848,0.660899,0.437232,0.281082,0.659546,0.0,0.0,1.0,0.0,0.561333,2.718674,0.0,0,0
0.204223,-0.188052,-0.118555,0.605804,0.571607,0.463833,0.301871,0.025503,0.620411,0.468642,0.434128,0.698129,0.0,0.0,1.0,0.0,1.301333,-15.415616,11.0,0,0
0.050282,-0.247602,-0.114178,0.629873,0.547855,0.475649,0.277258,0.027057,0.540481,0.484584,0.423313,0.722742,0.0,0.0,1.0,0.0,1.941333,-23.017924,11.0,0,0
0.004033,-0.210155,-0.115301,0.616583,0.556565,0.502578,0.23974,0.021697,0.461092,0.518498,0.502046,0.76026,0.0,0.0,1.0,0.0,2.201333,-44.129553,10.0,0,0
-0.059057,-0.216764,-0.108758,0.624,0.559389,0.485186,0.249605,0.022747,0.573197,0.947123,0.464987,0.750395,0.0,0.0,1.0,0.0,2.691333,-41.047631,10.0,0,0
-0.117534,-0.142269,-0.123732,0.622619,0.621589,0.420247,0.22218,0.021148,0.619627,1.015813,0.306417,0.77782,0.0,0.0,1.0,0.0,3.531333,-113.602832,8.0,0,0
-0.063929,-0.109072,-0.105514,0.643255,0.616044,0.423787,0.164672,0.016137,0.735279,1.271145,0.310641,0.835328,0.0,0.0,1.0,0.0,3.761333,-122.661244,7.0,0,1
-0.063341,-0.063082,-0.035091,0.663197,0.652117,0.354527,0.096035,0.015725,1.062137,1.51651,0.417521,0.903965,0.0,0.0,1.0,0.0,4.291333,-101.438284,8.0,0,2
-0.044752,-0.063223,-0.06644,0.642954,0.650352,0.391455,0.10205,0.014099,1.017046,1.099908,0.428282,0.89795,0.0,0.0,1.0,0.0,4.561333,-123.996707,7.0,0,2
-0.032826,-0.078699,-0.041952,0.667346,0.621647,0.398966,0.095031,0.013741,1.195554,1.104026,0.462886,0.904969,0.0,0.0,1.0,0.0,5.131333,-130.537471,7.0,0,2
-0.069502,-0.080262,-0.050668,0.576696,0.582762,0.351108,0.117643,0.01034,1.471985,1.352084,0.574598,0.882357,0.0,0.0,1.0,0.0,5.891333,-138.864904,7.0,0,2
0.007238,-0.041555,-0.035064,0.352664,0.361514,0.247453,0.054852,0.005979,0.830786,0.720443,0.436677,0.945148,0.0,0.0,1.0,0.0,6.871333,-120.360194,7.0,0,2
