mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
0.083111,-0.129587,0.046357,0.589973,0.602285,0.513093,0.160777,0.019845,0.860593,0.855369,0.945226,0.839223,0.833333,0.965926,0.258819,0.0,0.411333,-15.641223,11.0,2,1
0.037953,-0.166365,-0.007804,0.552453,0.594628,0.558533,0.170818,0.023722,0.817057,0.906264,0.960072,0.829182,0.833333,0.965926,0.258819,0.0,1.111333,-31.098181,10.0,0,1
-0.007567,-0.125174,-0.01599,0.542174,0.614752,0.558629,0.126418,0.021048,0.766622,0.942481,0.930481,0.873582,0.833333,0.965926,0.258819,0.0,1.391333,-84.350953,9.0,0,2
-0.044824,-0.118953,-0.033902,0.536694,0.616031,0.561338,0.131561,0.029339,0.567066,0.793318,0.674112,0.868439,0.833333,0.965926,0.258819,0.0,2.011333,-69.436992,9.0,0,2
-0.061872,-0.226777,0.033181,0.540064,0.595271,0.545491,0.237397,0.030351,0.634372,0.797341,0.567122,0.762603,0.833333,0.965926,0.258819,0.0,2.941333,-63.621064,9.0,2,0
-0.056475,-0.229683,0.01606,0.569136,0.582552,0.529514,0.237069,0.025185,0.738929,0.877166,0.644772,0.762931,0.833333,0.965926,0.258819,0.0,3.721333,-89.03239,9.0,1,0
-0.072978,-0.245394,-0.003441,0.570789,0.572598,0.529772,0.256038,0.024525,0.657647,0.746651,0.588375,0.743962,0.833333,0.965926,0.258819,0.0,4.411333,-110.317148,8.0,1,0
-0.104638,-0.101427,-0.04088,0.631369,0.519798,0.555132,0.151353,0.020648,0.720592,0.588774,0.564745,0.848647,0.833333,0.965926,0.258819,0.0,5.201333,-89.981357,9.0,0,2
-0.071205,-0.039613,-0.02959,0.59772,0.487929,0.539513,0.086689,0.015883,0.76686,0.483042,0.566122,0.913311,0.833333,0.965926,0.258819,0.0,5.971333,-141.447543,7.0,0,2
0.020825,-0.004298,-0.022626,0.380424,0.305713,0.399808,0.03105,0.007734,0.60515,0.077869,0.534751,0.96895,0.833333,0.965926,0.258819,0.0,6.961333,159.368169,5.0,0,2
