mean_x,mean_y,mean_z,std_x,std_y,std_z,R,log_rmsW,rX_ratio,rY_ratio,rZ_ratio,psi,elev_normalized,elev_sin,elev_cos,is_synthetic,time_s,azimuth_deg,az_sector,elev_class,psi_cls
0.507317,-0.224846,0.009768,0.405655,0.266156,0.018006,0.554997,0.082981,0.89338,0.449293,0.002835,0.445003,0.0,0.0,1.0,1.0,0.411333,-0.820002,11.0,0,0
0.426986,-0.4318,0.010117,0.328965,0.341171,0.016547,0.607347,0.103839,0.603174,0.797593,0.005119,0.392653,0.0,0.0,1.0,1.0,1.271333,-21.9,11.0,0,0
0.247384,-0.552115,0.012999,0.277088,0.381651,0.017784,0.605143,0.092632,0.450161,0.892929,0.005832,0.394857,0.0,0.0,1.0,1.0,2.051333,-43.550001,10.0,0,0
0.018012,-0.553289,0.016226,0.240396,0.413203,0.017637,0.55382,0.084177,0.382451,0.923953,0.006486,0.44618,0.0,0.0,1.0,1.0,2.831333,-66.639999,9.0,0,0
-0.220687,-0.433371,0.010039,0.276242,0.389203,0.014711,0.48643,0.062161,0.64658,0.762777,0.010253,0.51357,0.0,0.0,1.0,1.0,3.731333,-90.61,8.0,0,0
-0.39342,-0.367107,0.004952,0.350933,0.335746,0.006515,0.538119,0.071527,0.749178,0.662278,0.010956,0.461881,0.0,0.0,1.0,1.0,4.411333,-113.879994,8.0,0,0
-0.502787,-0.217729,0.00559,0.399824,0.261657,0.006806,0.547935,0.065633,0.822042,0.569309,0.011588,0.452065,0.0,0.0,1.0,1.0,5.221333,-135.679993,7.0,0,0
-0.353102,-0.077973,0.00402,0.432869,0.144167,0.006589,0.361631,0.038422,0.942995,0.332561,0.012798,0.638369,0.0,0.0,1.0,1.0,6.021333,-156.809997,6.0,0,0
-0.251998,-0.034661,0.002676,0.394494,0.09278,0.006,0.254385,0.021288,0.996021,0.088006,0.014052,0.745615,0.0,0.0,1.0,1.0,6.241333,-156.809998,6.0,0,0
-0.120056,-0.002348,0.001581,0.306997,0.007153,0.005083,0.120089,0.015401,0.99967,0.021464,0.014137,0.879911,0.0,0.0,1.0,1.0,6.911333,-178.770003,6.0,0,2
